Date,Price,Open,High,Low,Vol.,Change
2018/7/12,"2,285.06","2,285.93","2,298.56","2,277.73",364.41M,0.0019
2018/7/13,"2,310.90","2,293.07","2,313.80","2,293.07",291.56M,0.0113
2018/7/16,"2,301.99","2,312.26","2,317.84","2,299.79",297.12M,-0.0039
2018/7/17,"2,297.92","2,302.95","2,306.07","2,290.24",379.03M,-0.0018
2018/7/18,"2,290.11","2,313.78","2,319.39","2,287.10",402.77M,-0.0034
2018/7/19,"2,282.29","2,298.91","2,300.18","2,278.94",464.52M,-0.0034
2018/7/20,"2,289.19","2,281.36","2,293.34","2,269.55",353.24M,0.003
2018/7/23,"2,269.31","2,289.61","2,289.61","2,264.42",334.29M,-0.0087
2018/7/24,"2,280.20","2,273.15","2,284.43","2,263.13",436.13M,0.0048
2018/7/25,"2,273.03","2,284.38","2,292.61","2,269.67",309.32M,-0.0031
2018/7/26,"2,289.06","2,284.51","2,297.16","2,276.54",303.33M,0.0071
2018/7/27,"2,294.99","2,292.33","2,295.27","2,284.44",262.14M,0.0026
2018/7/30,"2,293.51","2,290.18","2,296.91","2,283.29",206.50M,-0.0006
2018/7/31,"2,295.26","2,292.23","2,296.60","2,286.02",223.93M,0.0008
2018/8/1,"2,307.07","2,301.17","2,312.65","2,301.13",219.03M,0.0051
2018/8/2,"2,270.20","2,304.14","2,306.72","2,265.46",352.06M,-0.016
2018/8/3,"2,287.68","2,278.33","2,288.93","2,272.94",270.49M,0.0077
2018/8/6,"2,286.50","2,288.51","2,300.38","2,283.26",244.55M,-0.0005
2018/8/7,"2,300.16","2,290.85","2,301.27","2,279.55",230.34M,0.006
2018/8/8,"2,301.45","2,305.73","2,308.60","2,298.41",299.69M,0.0006
2018/8/9,"2,303.71","2,303.04","2,303.71","2,291.91",244.88M,0.001
2018/8/10,"2,282.79","2,295.21","2,295.62","2,277.89",286.16M,-0.0091
2018/8/13,"2,248.45","2,266.43","2,271.82","2,238.55",335.38M,-0.015
2018/8/14,"2,258.91","2,249.86","2,262.52","2,247.37",255.22M,0.0047
2018/8/16,"2,240.80","2,233.05","2,244.08","2,218.09",312.52M,-0.008
2018/8/17,"2,247.05","2,244.61","2,250.92","2,240.14",238.38M,0.0028
2018/8/20,"2,247.88","2,257.35","2,264.42","2,245.06",271.60M,0.0004
2018/8/21,"2,270.06","2,248.04","2,272.86","2,244.59",294.34M,0.0099
2018/8/22,"2,273.33","2,273.68","2,280.31","2,268.91",269.27M,0.0014
2018/8/23,"2,282.60","2,282.57","2,282.88","2,268.06",338.39M,0.0041
2018/8/24,"2,293.21","2,276.16","2,295.22","2,271.35",347.29M,0.0046
2018/8/27,"2,299.30","2,297.32","2,302.87","2,289.41",307.04M,0.0027
2018/8/28,"2,303.12","2,312.14","2,314.60","2,299.45",276.89M,0.0017
2018/8/29,"2,309.03","2,304.66","2,309.88","2,300.21",268.21M,0.0026
2018/8/30,"2,307.35","2,313.11","2,320.85","2,305.46",286.93M,-0.0007
2018/8/31,"2,322.88","2,298.13","2,322.88","2,295.72",255.91M,0.0067
2018/9/3,"2,307.03","2,317.93","2,318.72","2,302.17",230.51M,-0.0068
2018/9/4,"2,315.72","2,308.96","2,317.74","2,302.17",277.01M,0.0038
2018/9/5,"2,291.77","2,310.90","2,315.43","2,288.01",358.19M,-0.0103
2018/9/6,"2,287.61","2,288.80","2,298.47","2,284.50",387.51M,-0.0018
2018/9/7,"2,281.58","2,278.08","2,286.82","2,264.90",357.56M,-0.0026
2018/9/10,"2,288.66","2,277.35","2,289.38","2,276.60",312.61M,0.0031
2018/9/11,"2,283.20","2,286.91","2,295.76","2,275.13",368.21M,-0.0024
2018/9/12,"2,282.92","2,286.28","2,289.66","2,271.00",336.83M,-0.0001
2018/9/13,"2,286.23","2,285.28","2,291.51","2,281.63",301.31M,0.0014
2018/9/14,"2,318.25","2,304.70","2,318.65","2,304.15",292.24M,0.014
2018/9/17,"2,303.01","2,314.55","2,314.55","2,295.26",343.17M,-0.0066
2018/9/18,"2,308.98","2,287.73","2,310.97","2,287.42",309.24M,0.0026
2018/9/19,"2,308.46","2,319.22","2,319.22","2,301.79",350.95M,-0.0002
2018/9/20,"2,323.45","2,314.41","2,334.04","2,311.56",289.08M,0.0065
2018/9/21,"2,339.17","2,332.04","2,339.17","2,325.12",321.70M,0.0068
2018/9/27,"2,355.43","2,331.70","2,355.43","2,331.70",279.23M,0.007
2018/9/28,"2,343.07","2,356.13","2,356.62","2,337.47",317.87M,-0.0052
2018/10/1,"2,338.88","2,349.64","2,352.11","2,333.32",278.31M,-0.0018
2018/10/2,"2,309.57","2,338.28","2,341.55","2,308.90",287.87M,-0.0125
2018/10/4,"2,274.49","2,311.06","2,311.06","2,270.22",309.50M,-0.0152
2018/10/5,"2,267.52","2,269.94","2,278.12","2,250.99",282.14M,-0.0031
2018/10/8,"2,253.83","2,258.73","2,273.71","2,253.83",214.64M,-0.006
2018/10/10,"2,228.61","2,256.03","2,257.52","2,222.95",365.68M,-0.0112
2018/10/11,"2,129.67","2,176.16","2,186.69","2,129.67",411.92M,-0.0444
2018/10/12,"2,161.85","2,131.66","2,173.01","2,129.13",292.57M,0.0151
2018/10/15,"2,145.12","2,155.34","2,159.23","2,141.28",259.18M,-0.0077
2018/10/16,"2,145.12","2,156.00","2,161.76","2,140.19",222.51M,0
2018/10/17,"2,167.51","2,169.44","2,182.77","2,159.37",275.16M,0.0104
2018/10/18,"2,148.31","2,158.80","2,168.01","2,146.61",321.76M,-0.0089
2018/10/19,"2,156.26","2,130.06","2,158.78","2,117.62",351.77M,0.0037
2018/10/22,"2,161.71","2,143.08","2,163.21","2,136.92",308.74M,0.0025
2018/10/23,"2,106.10","2,147.30","2,148.80","2,094.69",373.47M,-0.0257
2018/10/24,"2,097.58","2,119.19","2,121.36","2,092.10",399.73M,-0.004
2018/10/25,"2,063.30","2,046.67","2,066.06","2,033.81",376.01M,-0.0163
2018/10/26,"2,027.15","2,066.57","2,066.57","2,008.86",449.20M,-0.0175
2018/10/29,"1,996.05","2,026.68","2,045.76","1,993.77",427.30M,-0.0153
2018/10/30,"2,014.69","1,985.95","2,028.84","1,985.95",441.58M,0.0093
2018/10/31,"2,029.69","2,022.84","2,030.50","2,006.63",373.03M,0.0074
2018/11/1,"2,024.46","2,035.11","2,054.22","2,023.43",343.81M,-0.0026
2018/11/2,"2,096.00","2,046.61","2,096.63","2,044.94",371.98M,0.0353
2018/11/5,"2,076.92","2,079.81","2,080.49","2,052.67",361.30M,-0.0091
2018/11/6,"2,089.62","2,085.81","2,092.61","2,068.59",315.82M,0.0061
2018/11/7,"2,078.69","2,090.32","2,107.63","2,072.48",485.22M,-0.0052
2018/11/8,"2,092.63","2,109.97","2,120.88","2,092.36",328.03M,0.0067
2018/11/9,"2,086.09","2,093.89","2,101.92","2,082.47",298.07M,-0.0031
2018/11/12,"2,080.44","2,065.92","2,087.24","2,065.52",295.53M,-0.0027
2018/11/13,"2,071.23","2,047.62","2,072.03","2,032.05",383.42M,-0.0044
2018/11/14,"2,068.05","2,071.41","2,075.12","2,060.86",339.05M,-0.0015
2018/11/15,"2,088.06","2,061.47","2,088.61","2,058.73",351.04M,0.0097
2018/11/16,"2,092.40","2,097.94","2,103.11","2,086.54",301.60M,0.0021
2018/11/19,"2,100.56","2,096.13","2,111.39","2,089.37",273.20M,0.0039
2018/11/20,"2,082.58","2,074.67","2,089.54","2,074.67",281.68M,-0.0086
2018/11/21,"2,076.55","2,057.07","2,077.49","2,049.76",267.90M,-0.0029
2018/11/22,"2,069.95","2,079.01","2,081.75","2,066.20",242.50M,-0.0032
2018/11/23,"2,057.48","2,073.26","2,075.91","2,047.96",227.20M,-0.006
2018/11/26,"2,083.02","2,060.17","2,083.96","2,060.17",237.71M,0.0124
2018/11/27,"2,099.42","2,091.75","2,102.29","2,079.49",239.21M,0.0079
2018/11/28,"2,108.22","2,104.13","2,108.65","2,094.32",300.08M,0.0042
2018/11/29,"2,114.10","2,133.95","2,136.74","2,108.90",307.23M,0.0028
2018/11/30,"2,096.86","2,116.83","2,122.33","2,093.83",427.35M,-0.0082
2018/12/3,"2,131.93","2,127.78","2,136.64","2,113.60",436.59M,0.0167
